Date,Action,Company,Ticker,Date of PDF,Issues,Reference
3-May-18,Removal,Sirtex Medical (SRX),SRX,10/9/18,Check,
19-Mar-18,Addition,Ausdrill (ASL),ASL,9/3/18,,
19-Mar-18,Addition,Bellamy's Australia (BAL),BAL,5/12/19,Check,
19-Mar-18,Addition,Smartgroup Corporation (SIQ),SIQ,9/3/18,,
19-Mar-18,Addition,Xero (XRO),XRO,9/3/18,,
19-Mar-18,Removal,Australian Agricultural Company (AAC),AAC,9/3/18,,
19-Mar-18,Removal,HT&E (HT1),HT1,#N/A,#N/A,2
19-Mar-18,Removal,Myer Holdings (MYR),MYR,9/3/18,,
8-Dec-17,Addition,Lynas Corporation (LYC),LYC,8/12/17,,
8-Dec-17,Addition,Pilbara Minerals (PLS),PLS,8/12/17,,
8-Dec-17,Addition,WiseTech (WTC),WTC,8/12/17,,
8-Dec-17,Removal,FlexiGroup (FXL),FXL,8/12/17,,
8-Dec-17,Removal,Japara Healthcare (JHC),JHC,8/12/17,,
8-Dec-17,Removal,Regis Healthcare (REG),REG,8/12/17,,
6-Dec-17,Removal,Tatts Group (TTS),TTS,6/12/17,,
7-Nov-17,Addition,Domain Holdings Australia (DHA),DHA,7/11/17,,
1-Sep-17,Addition,Charter Hall Long Wale (CLW),CLW,1/9/17,,
1-Sep-17,Addition,NIB Holdings (NHF),NHF,1/9/17,,
1-Sep-17,Addition,Washington H Soul Pattinson & Company (SOL),SOL,1/9/17,,
1-Sep-17,Removal,Isentia Group (ISD),ISD,1/9/17,,
1-Sep-17,Removal,Sky Network Television (SKT),SKT,1/9/17,,
1-Sep-17,Removal,Virtus Health (VRT),VRT,1/9/17,,
28-Jul-17,Addition,Ooh!Media (OML),OML,28/7/17,,
28-Jul-17,Removal,Spotless Group Holdings (SPO),SPO,28/7/17,,
9-Jun-17,Addition,Speedcast International (SDA),SDA,13/12/19,Check,
9-Jun-17,Removal,Bellamy's Australia (BAL),BAL,5/12/19,Check,
21-Apr-17,Addition,CNU,CNU,21/4/17,,
21-Apr-17,Removal,DUE,DUE,21/4/17,,
10-Mar-17,Addition,No Change,o C,#N/A,#N/A,3
10-Mar-17,Removal,No Change,o C,#N/A,#N/A,3
9-Dec-16,Addition,Nanosonics (NAN),NAN,9/12/16,,
9-Dec-16,Removal,OFX Group (OFX),OFX,9/12/16,,
5-Dec-16,Addition,Viva Energy REIT (VVR),VVR,5/12/16,,
5-Dec-16,Removal,SAI Global (SAI),SAI,5/12/16,,
2-Sep-16,Addition,Galaxy Resources (GXY),GXY,13/12/19,Check,
2-Sep-16,Addition,Infigen (IFN),IFN,8/3/19,Check,
2-Sep-16,Addition,Nextdc (NXT),NXT,2/9/16,,
2-Sep-16,Addition,Orocobre (ORE),ORE,8/12/17,Check,
2-Sep-16,Addition,Resolute Mining (RSG),RSG,2/9/16,,
2-Sep-16,Addition,Webjet (WEB),WEB,2/9/16,,
2-Sep-16,Removal,Austal (ASB),ASB,14/6/19,Check,
2-Sep-16,Removal,Cover-More Group (CVO),CVO,2/9/16,,
2-Sep-16,Removal,Mesoblast (MSB),MSB,2/9/16,,
2-Sep-16,Removal,Programmed Maintenance Services (PRG),PRG,2/9/16,,
2-Sep-16,Removal,Select Harvests (SHV),SHV,2/9/16,,
2-Sep-16,Removal,Village Roadshow (VRL),VRL,2/9/16,,
22-Jul-16,Addition,Asciano (AIO),AIO,22/7/16,,
22-Jul-16,Removal,Reliance Worldwide Corporation (RWC),RWC,22/7/16,,
21-Jun-16,Addition,Eclipx Group (ECX),ECX,6/9/19,Check,
21-Jun-16,Removal,Pacific Brands (PBG),PBG,21/6/16,,
17-Jun-16,Addition,NZME (NZM),NZM,#N/A,#N/A,
10-Jun-16,Addition,The A2 Milk Company (A2M),A2M,#N/A,#N/A,
10-Jun-16,Removal,Liquefied Natural Gas (LNG),LNG,10/6/16,,
3-May-16,Addition,Saracen Mineral Holdings (SAR),SAR,3/5/16,,
3-May-16,Removal,Broadspectrum (BRS),BRS,3/5/16,,
14-Apr-16,Addition,Iron Mountain Inc. (INM),INM,8/6/18,Check,
14-Apr-16,Removal,Recall Holdings (REC),REC,14/4/16,,
11-Mar-16,Addition,Aconex (ACX),ACX,11/3/16,,
11-Mar-16,Addition,Bellamy's Australia (BAL),BAL,5/12/19,Check,
11-Mar-16,Addition,Brickworks (BKW),BKW,11/3/16,,
11-Mar-16,Addition,IPH (IPH),IPH,11/3/16,,
11-Mar-16,Addition,St Barbara (SBM),SBM,11/3/16,,
11-Mar-16,Removal,AWE (AWE),AWE,11/3/16,,
11-Mar-16,Removal,Cabcharge Australia (CAB),CAB,11/3/16,,
11-Mar-16,Removal,Karoon Gas Australia (KAR),KAR,11/3/16,,
11-Mar-16,Removal,Slater & Gordon (SGH),SGH,11/3/16,,
11-Mar-16,Removal,Ten Network Holdings (TEN),TEN,11/3/16,,
4-Feb-16,Addition,Link Administration Holdings (LNK),LNK,4/2/16,,
4-Feb-16,Removal,Veda Group (VED),VED,4/2/16,,
1-Feb-16,Removal,M2 Group (MTU),MTU,1/2/16,,
25-Jan-16,Addition,CYBG PLC (CYB),CYB,1/2/16,,
4-Dec-15,Addition,(API) Australian Pharmaceutical Industries,API,6/9/19,Check,
4-Dec-15,Addition,(APO) APN Outdoor Group,APO,11/10/18,Check,
4-Dec-15,Addition,(CGC) Costa Group Holdings,CGC,4/12/15,,
4-Dec-15,Addition,(ISD) Isentia Group,ISD,1/9/17,Check,
4-Dec-15,Addition,(PRG) Programmed Maintenance Services,PRG,2/9/16,Check,
4-Dec-15,Removal,(ARI) Arrium,ARI,4/12/15,,
4-Dec-15,Removal,(CDD) Cardno,CDD,4/12/15,,
4-Dec-15,Removal,(DLS) Drillsearch Energy,DLS,4/12/15,,
4-Dec-15,Removal,(DSH) Dick Smith Holdings,DSH,4/12/15,,
4-Dec-15,Removal,(PDN) Paladin Energy,PDN,4/12/15,,
4-Sep-15,Addition,(ALU) Altium,ALU,4/9/15,,
4-Sep-15,Addition,(ASB) Austal,ASB,14/6/19,Check,
4-Sep-15,Addition,(BAP) Burson,BAP,4/9/15,,
4-Sep-15,Addition,(GTY) Gateway Lifestyle,GTY,4/10/18,Check,
4-Sep-15,Addition,(MTR) Mantra Group,MTR,18/5/18,Check,
4-Sep-15,Addition,(MYO) MYOB Group,MYO,15/4/19,Check,
4-Sep-15,Removal,(AGI) Ainsworth Game Technology,AGI,4/9/15,,
4-Sep-15,Removal,(BKN) Bradken,BKN,4/9/15,,
4-Sep-15,Removal,(KMD) Kathmandu Holdings,KMD,4/9/15,,
4-Sep-15,Removal,(MRM) MMA Offshore,MRM,4/9/15,,
4-Sep-15,Removal,(SXY) Senex Energy,SXY,4/9/15,,
4-Sep-15,Removal,(UGL) UGL,UGL,4/9/15,,
3-Sep-15,Addition,(BKL) Blackmores,BKL,3/9/15,,
3-Sep-15,Removal,(SIR) Sirius Resources,SIR,3/9/15,,
20-Aug-15,Addition,(BTT) BT Investment Management,BTT,20/8/15,,
20-Aug-15,Removal,(IIN) iiNet,IIN,20/8/15,,
5-Jun-15,Addition,(CCP) Credit Corp Group,CCP,5/6/15,,
5-Jun-15,Addition,(GOZ) Growthpoint Properties Australia,GOZ,5/6/15,,
5-Jun-15,Addition,(NSR) _National Storage REIT,NSR,5/6/15,,
5-Jun-15,Removal,(SEA) Sundance Energy Australia,SEA,5/6/15,,
5-Jun-15,Removal,(SGN) STW Communications Group,SGN,5/6/15,,
5-Jun-15,Removal,(SKE) Skilled Group,SKE,5/6/15,,
22-May-15,Addition,(FPH) Fisher & Paykel Healthcare Corp.,FPH,22/5/15,,
22-May-15,Addition,(SHV) Select Harvests,SHV,2/9/16,Check,
22-May-15,Removal,(NVN) Novion Property Group,NVN,22/5/15,,
22-May-15,Removal,(SGT) Singapore Telecommunications,SGT,22/5/15,,
15-May-15,Removal,(PNA) PanAust,PNA,15/5/15,,
7-May-15,Addition,(S32) South32,S32,#N/A,#N/A,
7-May-15,Addition,(MYX) Mayne Pharma Group,MYX,#N/A,#N/A,
7-May-15,Removal,(TOL) Toll Holdings,TOL,7/5/15,,
6-Mar-15,Addition,(AAC) Australian Agricultural Company,AAC,9/3/18,Check,
6-Mar-15,Addition,(CTD) Corporate Travel Management,CTD,6/3/15,,
6-Mar-15,Addition,(DSH) Dick Smith Holdings,DSH,4/12/15,Check,
6-Mar-15,Addition,(EHE) Estia Health,EHE,6/3/15,,
6-Mar-15,Addition,(REG) Regis Healthcare,REG,8/12/17,Check,
6-Mar-15,Addition,(SYR) Syrah Resources,SYR,14/6/19,Check,
6-Mar-15,Removal,(AGO) Atlas Iron,AGO,6/3/15,,
6-Mar-15,Removal,(BCI) BC Iron,BCI,6/3/15,,
6-Mar-15,Removal,(BDR) Beadell Resources,BDR,6/3/15,,
6-Mar-15,Removal,(HZN) Horizon Oil,HZN,6/3/15,,
6-Mar-15,Removal,(LYC) Lynas Corporation,LYC,8/12/17,Check,
6-Mar-15,Removal,(MGX) Mount Gibson Iron,MGX,6/3/15,,
24-Feb-15,Addition,(MPL) Medibank Private,MPL,24/2/15,,
24-Feb-15,Removal,(GFF) Goodman Fielder,GFF,24/2/15,,
5-Dec-14,Addition,(APN) APN News & Media,APN,11/10/18,Check,
5-Dec-14,Addition,(VOC) Vocus Communications,VOC,1/2/16,Check,
5-Dec-14,Removal,(MML) Medusa Mining,MML,5/12/14,,
5-Dec-14,Removal,(RSG) Resolute Mining,RSG,2/9/16,Check,
8-Oct-14,Addition,(HSO) Healthscope,HSO,8/10/14,,
8-Oct-14,Removal,(WTF) Wotif.com Holdings,WTF,8/10/14,,
5-Sep-14,Addition,(AHY) Asaleo,AHY,8/6/18,Check,
5-Sep-14,Addition,(LNG) Liquefied Natural Gas,LNG,10/6/16,Check,
5-Sep-14,Addition,(TNE) Technology One,TNE,5/9/14,,
5-Sep-14,Removal,(BRU) Buru Energy,BRU,5/9/14,,
5-Sep-14,Removal,(NWH) NRW Holdings,NWH,5/9/14,,
5-Sep-14,Removal,(TRS) The Reject Shop,TRS,5/9/14,,
15-Aug-14,Addition,(GMA) Genworth Mortgage Insurance Australia,GMA,7/9/18,Check,
15-Aug-14,Removal,(ALZ) Australand Property Group,ALZ,15/8/14,,
8-Aug-14,Addition,(SPO) Spotless Group Holdings,SPO,28/7/17,Check,
8-Aug-14,Removal,(ENV) Envestra,ENV,8/8/14,,
14-Jul-14,Addition,(GXL) Greencross,GXL,7/9/18,Check,
14-Jul-14,Removal,(DJS) David Jones,DJS,14/7/14,,
7-Jul-14,Addition,(JHC) Japara Healthcare,JHC,8/12/17,Check,
7-Jul-14,Removal,(AQA) Aquila Resources,AQA,7/7/14,,
6-Jun-14,Addition,(TGR) Tassal Group,TGR,6/6/14,,
6-Jun-14,Removal,(ACR) Acrux,ACR,6/6/14,,
20-May-14,Addition,(SDF) Steadfast Group,SDF,20/5/14,,
20-May-14,Removal,(AUT) Aurora Oil & Gas,AUT,20/5/14,,
23-Apr-14,Addition,(SEA) Sundance Energy Australia,SEA,5/6/15,Check,
23-Apr-14,Removal,(FOX) Twenty-First Century Fox,FOX,23/4/14,,
7-Mar-14,Addition,(AGI) Ainsworth Game Technology,AGI,4/9/15,Check,
7-Mar-14,Addition,(ARP) ARB Corporation,ARP,7/3/14,,
7-Mar-14,Addition,(BGA) Bega Cheese,BGA,7/3/14,,
7-Mar-14,Addition,(CVO) Cover-More Group,CVO,2/9/16,Check,
7-Mar-14,Addition,(OFX) Ozforex Group,OFX,9/12/16,Check,
7-Mar-14,Addition,(PGH) Pact Group Holdings,PGH,6/9/19,Check,
7-Mar-14,Addition,(VED) Veda Group,VED,4/2/16,Check,
7-Mar-14,Removal,(AQG) Alacer Gold Corporation,AQG,7/3/14,,
7-Mar-14,Removal,(ASL) Ausdrill,ASL,9/3/18,Check,
7-Mar-14,Removal,(DCG) Decmil Group,DCG,7/3/14,,
7-Mar-14,Removal,(EWC) Energy World Corporation,EWC,7/3/14,,
7-Mar-14,Removal,(SLR) Silver Lake Resources,SLR,6/9/19,Check,
7-Mar-14,Removal,(SMX) SMS Management & Technology,SMX,7/3/14,,
7-Mar-14,Removal,(VAH) Virgin Australia Holdings,VAH,7/3/14,,
12-Feb-14,Addition,(NEC) Nine Entertainment Co. Holdings,NEC,21/11/18,Check,
12-Feb-14,Removal,(FGE) Forge Group,FGE,12/2/14,,
10-Dec-13,Addition,(ORA) Orora,ORA,10/12/13,,
10-Dec-13,Removal,(PRU) Perseus Mining,PRU,10/12/13,,
6-Dec-13,Addition,(BCI) BC Iron,BCI,6/3/15,Check,
6-Dec-13,Addition,(RFG) Retail Food Group,RFG,8/6/18,Check,
6-Dec-13,Addition,(SGH) Slater & Gordon,SGH,11/3/16,Check,
6-Dec-13,Addition,(SKC) Skycity Entertainment Group,SKC,6/12/13,,
6-Dec-13,Addition,(VRL) Village Roadshow,VRL,2/9/16,Check,
6-Dec-13,Addition,(VRT) Virtus Health,VRT,1/9/17,Check,
6-Dec-13,Removal,(BLY) Borat Longyear,BLY,6/12/13,,
6-Dec-13,Removal,(CDU) Cudeco,CDU,6/12/13,,
6-Dec-13,Removal,(FWD) Fleetwood Corporation,FWD,6/12/13,,
6-Dec-13,Removal,(KCN) Kingsgate Consolidated,KCN,6/12/13,,
6-Dec-13,Removal,(OGC) OceanaGold Corporation,OGC,6/12/13,,
6-Dec-13,Removal,(SBM) St Barbara,SBM,11/3/16,Check,
6-Dec-13,Removal,(SDL) Sundance,SDL,6/12/13,,
2-Dec-13,Addition,N/A,N/A,#N/A,#N/A,
2-Dec-13,Removal,N/A,N/A,#N/A,#N/A,
8-Nov-13,Addition,(KMD) Kathmandu Holdings,KMD,4/9/15,Check,
8-Nov-13,Removal,(LNC) Linc Energy,LNC,8/11/13,,
6-Sep-13,Addition,(CMW) Cromwell Property,CMW,6/9/13,,
6-Sep-13,Addition,(FGE) Forge Group,FGE,12/2/14,Check,
